DatGeracaoConjuntoDados;DscOrigem;NomTipoUsina;NomSubTipoUsina;QtdUsinaTermeletrica;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2023-07-01;Biomassa;Floresta;Licor Negro;16;1530182,00;3 ;2014
2023-07-01;Biomassa;Floresta;Licor Negro;17;1785102,00;3 ;2015
2023-07-01;Biomassa;Floresta;Licor Negro;17;1978136,00;3 ;2016
2023-07-01;Biomassa;Floresta;Licor Negro;17;2261136,00;3 ;2017
2023-07-01;Biomassa;Floresta;Licor Negro;14;1245198,00;6 ;2012
2023-07-01;Biomassa;Floresta;Licor Negro;15;1304182,00;6 ;2013
2023-07-01;Biomassa;Floresta;Licor Negro;17;1657582,00;6 ;2014
2023-07-01;Biomassa;Floresta;Licor Negro;17;1885649,00;6 ;2015
2023-07-01;Biomassa;Floresta;Licor Negro;16;1931136,00;6 ;2016
2023-07-01;Biomassa;Floresta;Licor Negro;14;1235643,00;9 ;2012
2023-07-01;Biomassa;Floresta;Licor Negro;16;1417182,00;9 ;2013
2023-07-01;Biomassa;Floresta;Licor Negro;17;1785022,00;9 ;2014
2023-07-01;Biomassa;Floresta;Licor Negro;17;1978136,00;9 ;2015
2023-07-01;Biomassa;Floresta;Licor Negro;17;2261136,00;9 ;2016
2023-07-01;Biomassa;Floresta;Resíduos Florestais;40;322335,00;12;2012
2023-07-01;Biomassa;Floresta;Resíduos Florestais;45;367735,00;12;2013
2023-07-01;Biomassa;Floresta;Resíduos Florestais;46;357725,00;12;2014
2023-07-01;Biomassa;Floresta;Resíduos Florestais;49;381925,00;12;2015
2023-07-01;Biomassa;Floresta;Resíduos Florestais;50;386525,00;12;2016
2023-07-01;Biomassa;Floresta;Resíduos Florestais;38;319635,00;3 ;2012
2023-07-01;Biomassa;Floresta;Resíduos Florestais;40;322335,00;3 ;2013
2023-07-01;Biomassa;Floresta;Resíduos Florestais;44;365935,00;3 ;2014
2023-07-01;Biomassa;Floresta;Resíduos Florestais;47;358925,00;3 ;2015
2023-07-01;Biomassa;Floresta;Resíduos Florestais;51;397925,00;3 ;2016
2023-07-01;Biomassa;Floresta;Resíduos Florestais;50;386100,00;3 ;2017
